   31.557105263157897     
   243.16000000000000     
   1.0705463513684064        3.6110392961402240E-005
         501           1
 
   90.000000000000000        90.000000000000000     
   2.5000000000000001E-003   1.2500000000000000     
 (  2.2861982521728209E-002,  8.9269593933743308E-005) ( -1.4228858750030789E-025, -5.6389486990904259E-028) (  1.4228858623488747E-025,  5.6389486874552497E-028) ( -2.3171475299895061E-002, -9.1981954272758482E-005)
   2.4522550000000001        1.2500000000000000     
 (  2.7143314221574580E-002,  1.0157717959052807E-004) (  2.7500418288071111E-002,  1.0466751255802049E-004)
 (  2.4213371799401081E-002,  9.9843882805024028E-005) ( -1.5072346005983893E-025, -6.3084882846169233E-028) (  1.5072345832843534E-025,  6.3084882654206653E-028) ( -2.4541944145358572E-002, -1.0289984809226324E-004)
   2.5022500000000001        1.2500000000000000     
 (  2.8846339323069577E-002,  1.1338605607101787E-004) (  2.9226256143665228E-002,  1.1686115164427977E-004)
 (  2.5610151929232914E-002,  1.1144466071157880E-004) ( -1.5944430020560291E-025, -7.0432916367395368E-028) (  1.5944429815088707E-025,  7.0432916177907853E-028) ( -2.5958532070396577E-002, -1.1488115192166297E-004)
   2.5522449999999997        1.2500000000000000     
 (  3.0619600667643430E-002,  1.2631986783866381E-004) (  3.1023316934854224E-002,  1.3022037868386059E-004)
 (  2.7052392922902523E-002,  1.2414781558526210E-004) ( -1.6845181999669726E-025, -7.8482258809468726E-028) (  1.6845181764934628E-025,  7.8482258530813384E-028) ( -2.7421320966247796E-002, -1.2800500444118621E-004)
   2.6022399999999997        1.2500000000000000     
 (  3.2464555560518700E-002,  1.4046052203374828E-004) (  3.2893073887944886E-002,  1.4483057856517334E-004)
 (  2.8540121864775437E-002,  1.3803288344857437E-004) ( -1.7774641435461307E-025, -8.7283949205782245E-028) (  1.7774641155881237E-025,  8.7283948871606291E-028) ( -2.8930339440473782E-002, -1.4235436514146440E-004)
   2.6522349999999997        1.2500000000000000     
 (  3.4382658466879344E-002,  1.5589383824177151E-004) (  3.4837015825590199E-002,  1.6078133095462883E-004)
 (  3.0073314616199644E-002,  1.5318305805991342E-004) ( -1.8732827419978286E-025, -9.6891467218495231E-028) (  1.8732827083639280E-025,  9.6891466818927095E-028) ( -3.0485581929460579E-002, -1.5801612761447302E-004)
   2.7022299999999997        1.2500000000000000     
 (  3.6375370683249836E-002,  1.7270961084120314E-004) (  3.6856620776871060E-002,  1.7816641910075321E-004)
 (  3.1651903912172132E-002,  1.6968522594202975E-004) ( -1.9719723098948029E-025, -1.0736072465284045E-027) (  1.9719722708937695E-025,  1.0736072417542774E-027) ( -3.2086982775737023E-002, -1.7508109985683200E-004)
   2.7522249999999997        1.2500000000000000     
 (  3.8444152953165590E-002,  1.9100172660217285E-004) (  3.8953374248857010E-002,  1.9708396863473972E-004)
 (  3.3275773142987179E-002,  1.8763005573092516E-004) ( -2.0735286174113714E-025, -1.1875013655880046E-027) (  2.0735285714414878E-025,  1.1875013599096227E-027) ( -3.3734433350648851E-002, -1.9364411403631845E-004)
   2.8022199999999997        1.2500000000000000     
 (  4.0590464464153826E-002,  2.1086817418563468E-004) (  4.1128762248261133E-002,  2.1763646470235177E-004)
 (  3.4944753951847915E-002,  2.0711197570984878E-004) ( -2.1779444513979568E-025, -1.3112061628994620E-027) (  2.1779443975490758E-025,  1.3112061561643938E-027) ( -3.5427775256778628E-002, -2.1380401131849418E-004)
   2.8522149999999997        1.2500000000000000     
